Month,Small-Scale Solar Photovoltaic Generation: Residential Sector,Small-Scale Solar Photovoltaic Generation: Commercial Sector,Small-Scale Solar Photovoltaic Generation: Industrial Sector,Small-Scale Solar Photovoltaic Generation: Total (All Sectors),Utility-Scale Solar Electricity Net Generation: Commercial Sector,Utility-Scale Solar Electricity Net Generation: Industrial Sector,Utility-Scale Solar Electricity Net Generation:  Electric Power Sector,Utility-Scale Solar Electricity Net Generation:  Total,Solar Electricity Net Generation
1989-01-01,0.56,0.769,0.17,1.5,No Data Reported,No Data Reported,6.957,6.957,8.457
1989-02-01,0.604,0.829,0.184,1.617,No Data Reported,No Data Reported,7.414,7.414,9.031
1989-03-01,0.832,1.142,0.253,2.227,No Data Reported,No Data Reported,19.086,19.086,21.313
1989-04-01,0.917,1.259,0.279,2.455,No Data Reported,No Data Reported,23.655,23.655,26.11
1989-05-01,1.012,1.39,0.308,2.71,No Data Reported,No Data Reported,15.56,15.56,18.27
1989-06-01,1.021,1.402,0.311,2.734,No Data Reported,No Data Reported,21.626,21.626,24.36
1989-07-01,1.072,1.472,0.326,2.871,No Data Reported,No Data Reported,35.589,35.589,38.46
1989-08-01,1.061,1.457,0.323,2.841,No Data Reported,No Data Reported,26.226,26.226,29.067
1989-09-01,0.968,1.329,0.294,2.591,No Data Reported,No Data Reported,31.453,31.453,34.044
1989-10-01,0.882,1.211,0.268,2.361,No Data Reported,No Data Reported,28.156,28.156,30.517
1989-11-01,0.724,0.993,0.22,1.937,No Data Reported,No Data Reported,24.616,24.616,26.553
1989-12-01,0.687,0.943,0.209,1.839,No Data Reported,No Data Reported,10.263,10.263,12.102
1990-01-01,0.638,0.875,0.194,1.707,No Data Reported,No Data Reported,14.995,14.995,16.702
1990-02-01,0.687,0.944,0.209,1.84,No Data Reported,No Data Reported,17.994,17.994,19.835
1990-03-01,0.947,1.3,0.288,2.535,No Data Reported,No Data Reported,25.492,25.492,28.027
1990-04-01,1.044,1.433,0.317,2.794,No Data Reported,No Data Reported,27.741,27.741,30.536
1990-05-01,1.152,1.582,0.35,3.085,No Data Reported,No Data Reported,46.636,46.636,49.72
1990-06-01,1.163,1.596,0.353,3.113,No Data Reported,No Data Reported,37.938,37.938,41.051
1990-07-01,1.221,1.676,0.371,3.268,No Data Reported,No Data Reported,46.636,46.636,49.903
1990-08-01,1.208,1.658,0.367,3.234,No Data Reported,No Data Reported,48.885,48.885,52.119
1990-09-01,1.102,1.513,0.335,2.949,No Data Reported,No Data Reported,31.34,31.34,34.29
1990-10-01,1.004,1.379,0.305,2.688,No Data Reported,No Data Reported,33.74,33.74,36.428
1990-11-01,0.824,1.131,0.25,2.205,No Data Reported,No Data Reported,16.345,16.345,18.55
1990-12-01,0.782,1.073,0.238,2.093,No Data Reported,No Data Reported,19.344,19.344,21.437
1991-01-01,0.712,0.977,0.216,1.906,No Data Reported,No Data Reported,19.928,19.928,21.834
1991-02-01,0.767,1.054,0.233,2.054,No Data Reported,No Data Reported,21.482,21.482,23.537
1991-03-01,1.057,1.452,0.321,2.831,No Data Reported,No Data Reported,6.077,6.077,8.908
1991-04-01,1.165,1.6,0.354,3.12,No Data Reported,No Data Reported,6.501,6.501,9.621
1991-05-01,1.287,1.766,0.391,3.444,No Data Reported,No Data Reported,62.751,62.751,66.195
1991-06-01,1.298,1.782,0.395,3.475,No Data Reported,No Data Reported,67.133,67.133,70.608
1991-07-01,1.363,1.871,0.414,3.648,No Data Reported,No Data Reported,82.396,82.396,86.045
1991-08-01,1.349,1.852,0.41,3.61,No Data Reported,No Data Reported,71.514,71.514,75.124
1991-09-01,1.23,1.689,0.374,3.293,No Data Reported,No Data Reported,60.207,60.207,63.5
1991-10-01,1.121,1.539,0.341,3.001,No Data Reported,No Data Reported,35.616,35.616,38.617
1991-11-01,0.92,1.263,0.28,2.462,No Data Reported,No Data Reported,25.157,25.157,27.619
1991-12-01,0.873,1.198,0.265,2.337,No Data Reported,No Data Reported,13.003,13.003,15.339
1992-01-01,0.783,1.075,0.238,2.096,No Data Reported,No Data Reported,8.702,8.702,10.797
1992-02-01,0.844,1.159,0.257,2.259,No Data Reported,No Data Reported,11.098,11.098,13.357
1992-03-01,1.163,1.596,0.354,3.113,No Data Reported,No Data Reported,14.124,14.124,17.237
1992-04-01,1.282,1.759,0.39,3.431,No Data Reported,No Data Reported,29.257,29.257,32.688
1992-05-01,1.415,1.942,0.43,3.787,No Data Reported,No Data Reported,46.913,46.913,50.7
1992-06-01,1.428,1.96,0.434,3.821,No Data Reported,No Data Reported,45.904,45.904,49.725
1992-07-01,1.499,2.057,0.456,4.012,No Data Reported,No Data Reported,62.172,62.172,66.183
1992-08-01,1.483,2.036,0.451,3.97,No Data Reported,No Data Reported,60.406,60.406,64.376
1992-09-01,1.353,1.857,0.411,3.621,No Data Reported,No Data Reported,46.03,46.03,49.651
1992-10-01,1.233,1.692,0.375,3.3,No Data Reported,No Data Reported,37.581,37.581,40.881
1992-11-01,1.011,1.388,0.307,2.707,No Data Reported,No Data Reported,28.375,28.375,31.082
1992-12-01,0.96,1.318,0.292,2.569,No Data Reported,No Data Reported,9.08,9.08,11.649
1993-01-01,0.858,1.179,0.261,2.298,No Data Reported,No Data Reported,9.366,9.366,11.664
1993-02-01,0.925,1.27,0.281,2.477,No Data Reported,No Data Reported,17.759,17.759,20.236
1993-03-01,1.275,1.75,0.388,3.413,No Data Reported,No Data Reported,34.544,34.544,37.957
1993-04-01,1.405,1.929,0.427,3.762,No Data Reported,No Data Reported,54.127,54.127,57.889
1993-05-01,1.551,2.13,0.472,4.153,No Data Reported,No Data Reported,49.505,49.505,53.658
1993-06-01,1.565,2.149,0.476,4.19,No Data Reported,No Data Reported,35.395,35.395,39.586
1993-07-01,1.643,2.256,0.5,4.399,No Data Reported,No Data Reported,62.398,62.398,66.797
1993-08-01,1.626,2.233,0.494,4.353,No Data Reported,No Data Reported,68.237,68.237,72.59
1993-09-01,1.483,2.036,0.451,3.97,No Data Reported,No Data Reported,56.56,56.56,60.53
1993-10-01,1.352,1.856,0.411,3.618,No Data Reported,No Data Reported,33.936,33.936,37.554
1993-11-01,1.109,1.522,0.337,2.968,No Data Reported,No Data Reported,26.759,26.759,29.728
1993-12-01,1.052,1.445,0.32,2.817,No Data Reported,No Data Reported,13.866,13.866,16.684
1994-01-01,0.961,1.32,0.292,2.574,No Data Reported,No Data Reported,25.368,25.368,27.942
