Month,"Nuclear Generating Units, Total Operable Units","Nuclear Generating Units, Net Summer Capacity",Nuclear Electricity Net Generation,Nuclear Share of Electricity Net Generation,"Nuclear Generating Units, Capacity Factor"
2018-05-01,99,99.731,67320,19.8,90.7
2018-06-01,99,99.731,69688,18.7,97.1
2018-07-01,99,99.731,72456,17.6,97.7
2018-08-01,99,99.731,72282,17.7,97.4
2018-09-01,98,99.278,64725,18.2,90.3
2018-10-01,98,99.278,59397,18.3,80.4
2018-11-01,98,99.433,63954,19.8,89.3
2018-12-01,98,99.433,71657,20.9,96.9
2019-01-01,98,99.44,73701,20.5,99.7
2019-02-01,98,99.44,64715,20.5,96.9
2019-03-01,98,99.44,65080,19.9,88.0
2019-04-01,98,99.595,60581,20.4,84.5
2019-05-01,97,98.922,67124,20.3,90.9
2019-06-01,97,98.922,68805,19.5,96.7
2019-07-01,97,98.922,72199,17.6,98.1
2019-08-01,97,98.922,71911,17.9,97.8
2019-09-01,96,98.119,66064,18.3,93.1
2019-10-01,96,98.119,62033,19.4,85.0
2019-11-01,96,98.119,64125,20.3,90.8
2019-12-01,96,98.119,73074,21.6,100.1
2020-01-01,96,98.094,74170,21.7,101.6
2020-02-01,96,98.094,65911,20.6,96.6
2020-03-01,96,98.094,63997,20.7,87.7
2020-04-01,95,97.082,59170,21.1,83.8
2020-05-01,95,97.082,64338,21.1,89.1
2020-06-01,95,97.082,67205,19.1,96.1
2020-07-01,95,97.082,69385,16.9,96.0
2020-08-01,95,97.082,68982,17.3,95.9
2020-09-01,94,97.082,65727,19.7,94.6
2020-10-01,94,97.102,59362,18.9,82.6
2020-11-01,94,96.501,61760,20.5,88.8
2020-12-01,94,96.501,69871,20.3,97.3
2021-01-01,94,96.586,71732,20.5,99.9
2021-02-01,94,96.586,62954,19.4,97.0
2021-03-01,94,96.586,63708,20.5,88.7
2021-04-01,93,95.546,57092,19.5,82.1
2021-05-01,93,95.546,63394,19.8,89.2
2021-06-01,93,95.546,66070,17.7,96.0
2021-07-01,93,95.546,68832,17.0,96.8
2021-08-01,93,95.546,69471,16.8,97.7
2021-09-01,93,95.546,64520,18.6,93.8
2021-10-01,93,95.546,58401,18.2,82.2
2021-11-01,93,95.546,62749,20.0,91.2
2021-12-01,93,95.546,70720,21.0,99.5
2022-01-01,93,95.406,70577,18.9,99.4
2022-02-01,93,95.406,61852,19.1,96.5
2022-03-01,93,95.406,63154,19.5,89.0
2022-04-01,93,95.406,55290,18.2,80.5
2022-05-01,93,95.427,63382,18.5,89.3
2022-06-01,92,94.659,65715,17.3,96.4
2022-07-01,92,94.659,68857,16.3,97.8
2022-08-01,92,94.659,68897,16.7,97.8
2022-09-01,92,94.659,63733,18.1,93.5
2022-10-01,92,94.659,58945,18.8,83.7
2022-11-01,92,94.659,62041,19.3,91.0
2022-12-01,92,94.659,69094,19.2,98.1
2023-01-01,92,94.598,70870,20.4,100.7
2023-02-01,92,94.598,60807,19.6,95.7
2023-03-01,92,94.598,62820,18.9,89.3
2023-04-01,92,94.598,56662,18.8,83.2
2023-05-01,92,94.598,61155,18.7,86.9
2023-06-01,92,94.598,64819,18.1,95.2
2023-07-01,92,95.712,69888,16.4,99.1
2023-08-01,93,95.712,69744,16.5,97.9
2023-09-01,93,95.712,65560,18.2,95.1
2023-10-01,93,95.712,61436,18.8,86.3
2023-11-01,93,95.712,62258,19.4,90.3
2023-12-01,93,95.712,68854,19.7,96.7
2024-01-01,93,95.712,69080,18.2,97.1
2024-02-01,93,95.712,64584,20.1,96.9
2024-03-01,93,95.712,63346,19.5,89.0
2024-04-01,93,96.826,57621,18.6,83.2
2024-05-01,94,96.826,64973,18.8,90.2
2024-06-01,94,96.826,68192,17.5,97.8
2024-07-01,94,96.826,69885,16.2,97.0
2024-08-01,94,96.826,69760,16.5,96.8
2024-09-01,94,96.826,62660,17.4,89.9
