Month,"Coal Electric Power Sector, Net Summer Capacity","Petroleum Electric Power Sector, Net Summer Capacity","Natural Gas Electric Power Sector, Net Summer Capacity","Fossil Fuels Electric Power Sector, Net Summer Capacity","Nuclear Electric Power Sector, Net Summer Capacity","Hydroelectric Pumped Storage Electric Power Sector, Net Summer Capacity","Conventional Hydroelectric Power Electric Power Sector, Net Summer Capacity","Wood Electric Power Sector, Net Summer Capacity","Waste Electric Power Sector, Net Summer Capacity","Geothermal Electric Power Sector, Net Summer Capacity ","Solar Electric Power Sector, Net Summer Capacity","Wind Electric Power Sector, Net Summer Capacity","Renewable Energy Electric Power Sector, Net Summer Capacity ","Battery Storage Electric Power Sector, Net Summer Capacity","Total Electric Power Sector, Net Summer Capacity"
2011-11-01,313.882,50.902,399.186,764,101.347,22.293,78.288,2.028,3.753,2.413,1.239,44.09,131.81,0.068,1019.677
2011-12-01,313.668,50.398,399.663,763.759,101.419,22.293,78.298,2.028,3.766,2.409,1.466,45.648,133.615,0.068,1021.312
2012-01-01,302.193,45.502,398.396,746.174,101.602,22.326,77.772,2.138,3.839,2.465,1.548,46.832,134.593,0.083,1005.167
2012-02-01,302.207,45.504,398.98,746.774,101.602,22.326,77.894,2.128,3.85,2.477,1.58,47.865,135.793,0.083,1006.968
2012-03-01,302.191,45.505,399.073,746.852,101.602,22.326,77.911,2.128,3.876,2.527,1.588,48.05,136.079,0.083,1007.331
2012-04-01,302.223,45.514,400.793,748.613,101.602,22.326,77.911,2.128,3.882,2.527,1.659,48.356,136.462,0.083,1009.475
2012-05-01,302.242,45.514,400.897,748.736,101.625,22.326,77.935,2.128,3.885,2.556,1.858,48.756,137.118,0.083,1010.277
2012-06-01,303.06,45.662,402.035,750.84,101.625,22.326,77.935,2.228,3.89,2.574,1.992,49.257,137.877,0.093,1013.15
2012-07-01,303.657,45.663,402.355,751.758,101.747,22.326,77.935,2.228,3.902,2.574,2.097,49.866,138.603,0.093,1014.916
2012-08-01,303.645,45.67,402.654,752.052,101.856,22.368,77.944,2.228,3.906,2.574,2.141,50.518,139.312,0.093,1016.07
2012-09-01,303.635,45.679,402.657,752.054,101.856,22.368,77.945,2.228,3.906,2.574,2.206,51.426,140.285,0.095,1017.048
2012-10-01,303.635,45.682,403.839,753.239,101.856,22.368,77.945,2.228,3.917,2.574,2.355,52.268,141.288,0.095,1019.235
2012-11-01,304.452,45.689,404.267,754.491,101.885,22.368,77.945,2.228,3.973,2.586,2.445,53.938,143.115,0.095,1022.343
2012-12-01,305.903,45.693,406.557,758.236,101.885,22.368,78.074,2.253,3.978,2.592,3.063,59.036,148.996,0.142,1032.015
2013-01-01,304.633,43.354,406.935,755.051,102.206,22.389,78.283,2.487,4.04,2.484,3.21,59.103,149.607,0.146,1030.372
2013-02-01,304.562,43.353,406.506,754.551,101.346,22.389,78.294,2.487,4.046,2.484,3.311,59.103,149.724,0.146,1029.129
2013-03-01,304.547,43.292,406.255,754.224,101.455,22.389,78.362,2.487,4.061,2.473,3.404,59.103,149.89,0.146,1029.077
2013-04-01,304.547,43.261,407.901,755.839,101.603,22.389,78.317,2.54,4.059,2.487,3.581,59.103,150.088,0.146,1031.037
2013-05-01,304.755,43.242,409.196,757.323,101.282,22.389,78.317,2.54,4.076,2.519,3.636,59.103,150.192,0.138,1032.297
2013-06-01,304.979,42.681,409.057,756.859,99.132,22.389,78.33,2.54,4.083,2.519,3.875,59.103,150.451,0.138,1029.942
2013-07-01,304.579,42.669,408.86,756.249,99.132,22.389,78.36,2.54,4.088,2.519,3.961,59.105,150.573,0.138,1029.454
2013-08-01,304.575,42.66,410.005,757.381,99.132,22.389,78.368,2.54,4.091,2.519,4.1,59.105,150.723,0.123,1030.721
2013-09-01,303.96,42.522,409.571,756.194,99.132,22.389,78.365,2.528,4.095,2.519,4.181,59.128,150.816,0.142,1029.666
2013-10-01,301.712,42.458,409.492,753.804,99.132,22.389,78.384,2.528,4.097,2.519,4.822,59.211,151.561,0.142,1028.022
2013-11-01,300.684,42.443,409.596,752.864,99.132,22.389,78.513,2.728,4.105,2.55,5.442,59.405,152.743,0.146,1028.267
2013-12-01,299.945,42.416,409.221,751.723,99.24,22.389,78.522,2.879,4.124,2.607,6.422,59.923,154.476,0.146,1028.969
2014-01-01,299.486,40.737,411.009,751.374,99.182,22.458,79.328,2.89,4.153,2.514,6.772,59.88,155.538,0.152,1030.036
2014-02-01,299.336,40.733,409.986,750.197,99.182,22.458,79.339,2.89,4.158,2.514,6.923,59.975,155.8,0.152,1029.122
2014-03-01,299.238,40.733,409.986,750.099,99.182,22.458,79.315,2.89,4.167,2.514,7.177,60.025,156.088,0.156,1029.315
2014-04-01,299.238,40.707,411.139,751.226,99.182,22.458,79.329,2.89,4.177,2.514,7.397,60.025,156.332,0.156,1030.686
2014-05-01,299.125,40.673,411.617,751.558,99.182,22.48,79.332,2.89,4.18,2.514,7.568,60.243,156.727,0.156,1031.435
2014-06-01,298.329,40.25,411.697,750.418,99.182,22.48,79.457,2.89,4.182,2.514,7.763,60.253,157.06,0.156,1030.628
2014-07-01,297.503,40.251,412.323,750.219,99.182,22.48,79.461,2.89,4.189,2.514,7.905,60.632,157.592,0.156,1030.962
2014-08-01,297.496,40.275,414.177,752.091,99.182,22.48,79.351,2.89,4.215,2.514,8.304,61.349,158.623,0.156,1033.864
2014-09-01,297.455,40.273,414.289,752.159,99.182,22.48,79.352,2.89,4.218,2.514,8.411,61.418,158.803,0.156,1034.113
2014-10-01,296.64,40.279,415.057,752.117,99.182,22.48,79.369,2.937,4.216,2.514,8.761,61.555,159.351,0.156,1034.619
2014-11-01,296.459,40.277,415.068,751.945,99.182,22.48,79.369,2.937,4.221,2.514,9.191,61.905,160.137,0.156,1035.232
2014-12-01,295.906,40.078,415.592,751.717,98.569,22.48,79.377,2.937,4.225,2.514,10.092,64.156,163.301,0.156,1037.556
2015-01-01,290.622,36.882,422.206,750.102,98.533,22.497,79.322,3.168,4.141,2.494,10.325,65.131,164.58,0.167,1036.143
2015-02-01,290.622,36.882,421.952,749.848,98.533,22.57,79.327,3.168,4.147,2.524,10.478,65.131,164.776,0.167,1036.158
2015-03-01,290.164,36.885,422.1,749.541,98.533,22.57,79.327,3.168,4.152,2.524,10.524,65.228,164.922,0.199,1036.043
2015-04-01,286.552,36.762,422.296,746.002,98.533,22.57,79.328,3.168,4.149,2.524,10.59,66.254,166.013,0.199,1033.594
2015-05-01,283.46,36.368,423.187,743.407,98.533,22.57,79.331,3.168,4.149,2.524,10.784,66.534,166.49,0.199,1031.476
2015-06-01,281.514,35.929,423.201,741.035,98.672,22.57,79.451,3.168,4.157,2.524,11.055,66.799,167.154,0.199,1029.908
2015-07-01,281.514,35.87,423.07,740.846,98.672,22.57,79.458,3.168,4.186,2.524,11.131,67.101,167.568,0.2,1030.133
2015-08-01,280.906,35.869,423.916,741.083,98.672,22.57,79.355,3.168,4.186,2.524,11.361,68.695,169.289,0.206,1032.097
2015-09-01,279.968,35.865,424.591,740.816,98.672,22.57,79.356,3.115,4.188,2.54,11.465,69.003,169.667,0.225,1032.228
2015-10-01,279.606,35.781,423.709,739.488,98.672,22.57,79.356,3.115,4.188,2.542,11.572,69.888,170.66,0.277,1031.945
2015-11-01,278.518,35.695,424.06,738.664,98.672,22.57,79.358,3.065,4.185,2.542,12.004,70.128,171.281,0.279,1031.744
2015-12-01,276.984,35.68,423.019,736.045,98.672,22.57,79.364,3.065,4.177,2.542,13.369,72.486,175.003,0.29,1032.857
2016-01-01,271.978,34.092,428.79,735.222,98.921,22.684,79.321,3.216,4.139,2.517,13.92,72.973,176.085,0.368,1033.459
2016-02-01,271.978,34.041,428.11,734.491,98.921,22.706,79.381,3.216,4.139,2.517,14.065,72.973,176.29,0.389,1032.977
2016-03-01,271.291,33.944,427.931,733.528,98.921,22.706,79.41,3.216,4.138,2.517,14.272,73.331,176.883,0.396,1032.614
2016-04-01,266.878,33.94,430.65,731.829,98.921,22.706,79.448,3.216,4.162,2.517,14.746,73.494,177.581,0.406,1031.622
2016-05-01,266.164,33.854,431.373,731.754,98.921,22.779,79.448,3.218,4.162,2.517,14.867,73.768,177.978,0.417,1032.036
2016-06-01,265.903,33.859,431.188,731.312,100.043,22.779,79.477,3.218,4.17,2.517,15.081,74.188,178.65,0.437,1033.408
2016-07-01,265.897,33.846,433.44,733.545,100.043,22.779,79.616,3.218,4.172,2.517,15.806,74.63,179.957,0.437,1036.948
2016-08-01,265.742,33.783,433.423,733.31,100.043,22.779,79.512,3.2,4.177,2.517,16.74,74.633,180.778,0.438,1037.534
2016-09-01,265.142,33.783,433.475,732.762,100.043,22.779,79.512,3.2,4.181,2.517,17.507,74.756,181.672,0.44,1037.881
