Month,"Average Price of Electricity to Ultimate Customers, Residential","Average Price of Electricity to Ultimate Customers, Commercial","Average Price of Electricity to Ultimate Customers, Industrial","Average Price of Electricity to Ultimate Customers, Transportation","Average Price of Electricity to Ultimate Customers, Other","Average Price of Electricity to Ultimate Customers, Total"
1991-11-01,7.95,7.47,4.69,Not Available,6.55,6.59
1991-12-01,7.81,7.3,4.68,Not Available,6.48,6.57
1992-01-01,7.7,7.3,4.67,Not Available,6.55,6.58
1992-02-01,7.78,7.39,4.7,Not Available,6.42,6.58
1992-03-01,8.01,7.44,4.68,Not Available,6.53,6.6
1992-04-01,8.03,7.43,4.68,Not Available,6.47,6.57
1992-05-01,8.38,7.61,4.74,Not Available,6.56,6.72
1992-06-01,8.61,7.89,4.92,Not Available,6.94,6.99
1992-07-01,8.54,7.94,5.13,Not Available,6.95,7.18
1992-08-01,8.56,7.95,5.04,Not Available,6.97,7.15
1992-09-01,8.59,7.99,5.09,Not Available,6.96,7.14
1992-10-01,8.44,7.9,4.88,Not Available,6.93,6.92
1992-11-01,8.14,7.54,4.67,Not Available,6.81,6.64
1992-12-01,7.86,7.41,4.71,Not Available,6.67,6.66
1993-01-01,7.73,7.32,4.64,Not Available,6.61,6.61
1993-02-01,7.79,7.38,4.65,Not Available,6.51,6.59
1993-03-01,7.8,7.43,4.66,Not Available,6.5,6.59
1993-04-01,8.13,7.49,4.6,Not Available,6.81,6.62
1993-05-01,8.56,7.75,4.73,Not Available,6.95,6.82
1993-06-01,8.74,8,4.96,Not Available,7.1,7.13
1993-07-01,8.73,8.02,5.16,Not Available,7.06,7.36
1993-08-01,8.73,8.01,5.16,Not Available,7.01,7.35
1993-09-01,8.79,8.07,5.12,Not Available,7.13,7.32
1993-10-01,8.76,8.1,5.01,Not Available,7.29,7.16
1993-11-01,8.21,7.71,4.69,Not Available,6.96,6.75
1993-12-01,7.9,7.42,4.69,Not Available,6.5,6.65
1994-01-01,7.74,7.36,4.68,Not Available,6.54,6.65
1994-02-01,7.85,7.48,4.72,Not Available,6.63,6.69
1994-03-01,8.08,7.46,4.66,Not Available,6.77,6.68
1994-04-01,8.3,7.45,4.66,Not Available,6.68,6.67
1994-05-01,8.53,7.68,4.73,Not Available,6.95,6.8
1994-06-01,8.77,7.97,4.94,Not Available,7.02,7.16
1994-07-01,8.8,8.05,5.05,Not Available,7,7.36
1994-08-01,8.84,8.08,4.93,Not Available,6.96,7.28
1994-09-01,8.82,8.17,4.93,Not Available,7.27,7.24
1994-10-01,8.56,7.92,4.71,Not Available,6.89,6.9
1994-11-01,8.29,7.51,4.59,Not Available,6.69,6.64
1994-12-01,8.06,7.37,4.57,Not Available,6.6,6.63
1995-01-01,7.85,7.33,4.48,Not Available,6.67,6.6
1995-02-01,8.01,7.49,4.55,Not Available,6.77,6.68
1995-03-01,8.14,7.53,4.53,Not Available,6.8,6.66
1995-04-01,8.41,7.5,4.51,Not Available,6.66,6.65
1995-05-01,8.53,7.64,4.54,Not Available,6.97,6.74
1995-06-01,8.72,7.95,4.82,Not Available,7.13,7.1
1995-07-01,8.8,8.06,4.95,Not Available,7.13,7.35
1995-08-01,8.78,7.95,4.97,Not Available,6.99,7.34
1995-09-01,8.57,7.84,4.79,Not Available,6.88,7.08
