Month,Small-Scale Solar Energy Consumption for Heat: Total,Small-Scale Solar Energy Consumption for Electricity: Residential Sector,Small-Scale Solar Energy Consumption for Electricity: Commercial Sector,Small-Scale Solar Energy Consumption for Electricity: Industrial Sector,Small-Scale Solar Energy Consumption for Electricity: Total,Small-Scale Solar Energy Consumption: Total,Utility-Scale Solar Energy Consumption for Electricity: Commercial Sector,Utility-Scale Solar Energy Consumption for Electricity: Industrial Sector,Utility-Scale Solar Energy Consumption for Electricity:  Electric Power Sector ,Utility-Scale Solar Energy Consumption: Total,Solar Energy Consumption
1984-06-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.003,0.003,0.003
1984-07-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.001,0.001,0.001
1984-08-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.003,0.003,0.003
1984-09-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.003,0.003,0.003
1984-10-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.002,0.002,0.002
1984-11-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.001,0.001,0.001
1984-12-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0
1985-01-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.002,0.002,0.002
1985-02-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0
1985-03-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0
1985-04-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.004,0.004,0.004
1985-05-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.005,0.005,0.005
1985-06-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.005,0.005,0.005
1985-07-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.004,0.004,0.004
1985-08-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.007,0.007,0.007
1985-09-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.005,0.005,0.005
1985-10-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.003,0.003,0.003
1985-11-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.001,0.001,0.001
1985-12-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.001,0.001,0.001
1986-01-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.002,0.002,0.002
1986-02-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.002,0.002,0.002
1986-03-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.003,0.003,0.003
1986-04-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.005,0.005,0.005
1986-05-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.006,0.006,0.006
1986-06-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.005,0.005,0.005
1986-07-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.006,0.006,0.006
1986-08-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.006,0.006,0.006
1986-09-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.005,0.005,0.005
1986-10-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.004,0.004,0.004
