Month,"Coal Consumption for Electricity Generation and Useful Thermal Output, Commercial Sector","Petroleum Consumption for Electricity Generation and Useful Thermal Output, Commercial Sector","Natural Gas Consumption for Electricity Generation and Useful Thermal Output, Commercial Sector","Waste Consumption for Electricity Generation and Useful Thermal Output, Commercial Sector","Coal Consumption for Electricity Generation and Useful Thermal Output, Industrial Sector","Petroleum Consumption for Electricity Generation and Useful Thermal Output, Industrial Sector","Natural Gas Consumption for Electricity Generation and Useful Thermal Output, Industrial Sector","Other Fossil Gases Consumption for Electricity Generation and Useful Thermal Output, Industrial Sector","Wood Consumption for Electricity Generation and Useful Thermal Output, Industrial Sector","Waste Consumption for Electricity Generation and Useful Thermal Output, Industrial Sector","Other Consumption for Electricity Generation and Useful Thermal Output, Industrial Sector"
2001-06-01,116.81,141.97,6.309,2.147,2123.49,1999.94,105.234,20.772,84.346,1.602,7.71
2001-07-01,143.89,152.92,7.78,2.272,2267.44,2081.25,113.689,23.139,87.926,1.688,8.409
2001-08-01,162.27,169.39,8.627,2.265,2318.18,2039.16,118.551,22.54,91.849,1.554,9.319
2001-09-01,121.69,126.61,6.888,2.096,2114.86,1892.49,112.262,21.16,85.538,1.704,8.76
2001-10-01,100.32,139.82,6.74,1.97,2081.13,2114.31,114.313,19.396,94.163,2.423,8.685
2001-11-01,96.74,120.12,5.819,1.839,2040.51,1991.73,108.752,19.41,88.295,3.734,9.43
2001-12-01,109.76,140.81,6.212,2.172,2141.32,2288.46,115.687,20.837,89.026,3.432,9.111
2002-01-01,127.218,98.582,6.119,1.858,2278.429,2259.065,113.889,19.709,96.517,3.206,7.416
2002-02-01,101.531,91.664,5.111,1.687,1989.589,1768.45,99.869,17.648,84.032,2.657,7.472
2002-03-01,123.663,88.179,6.228,1.913,2149.737,2136.086,106.89,19.582,86.238,3.415,7.764
2002-04-01,100.105,84.459,5.763,1.975,2114.529,1844.113,97.361,19.227,88.692,2.523,7.355
2002-05-01,105.49,81.304,5.481,2.285,2110.39,1952.825,107.125,19.74,96.388,2.244,6.213
2002-06-01,112.437,87.101,6.289,2.307,2100.931,1860.644,102.419,21.521,89.281,2.273,6.022
2002-07-01,125.848,115.367,7.409,2.491,2438.866,2126.704,110.689,21.74,103.278,2.321,8.29
2002-08-01,127.404,114.423,7.818,2.551,2153.381,1974.029,107.943,21.173,90.014,2.427,7.035
2002-09-01,116.355,90.147,6.552,2.353,2149.579,1993.423,100.897,21.668,99.096,2.281,9.177
2002-10-01,114.489,88.869,5.857,2.306,2230.818,2218.832,97.431,19.772,107.381,2.788,9.553
2002-11-01,116.399,129.531,5.344,2.244,2236.63,2385.469,97.393,21.275,95.043,3.701,8.522
2002-12-01,134.298,180.684,6.009,1.907,2279.492,2643.104,98.302,22.117,99.768,3.756,7.084
2003-01-01,171.289,154.34,5.135,2.456,2286.222,2436.614,106.353,21.025,91.189,3.505,8.106
2003-02-01,152.323,140.467,4.422,2.116,2010.117,2122.01,90.991,18.935,83.829,3.219,7.372
2003-03-01,154.718,114.018,4.389,2.404,2071.976,2167.397,93.578,21.36,90.03,3.167,9.166
2003-04-01,136.881,80.05,4.372,2.405,1895.22,2070.761,90.627,20.013,89.902,3.258,8.218
2003-05-01,136.978,89.255,4.581,2.526,2029.237,2130.132,93.986,21.164,89.681,2.192,9.131
2003-06-01,143.853,112.911,4.696,2.459,1997.916,2243.776,94.005,21.347,88.911,2.188,8.455
2003-07-01,159.461,146.591,5.428,2.582,2183.171,2308.699,98.688,22.694,96.696,2.648,8.731
2003-08-01,164.036,142.942,5.666,2.537,2199.865,2247.11,102.494,22.593,93.575,2.636,9.629
2003-09-01,146.241,107.535,4.928,2.305,1957.219,2008.059,95.108,20.645,89.748,2.403,9.391
2003-10-01,141.47,100.916,5.074,2.376,2007.982,2289.241,95.137,20.948,92.672,2.803,8.878
2003-11-01,143.268,105.249,4.762,2.266,1980.63,1871.335,89.85,20.46,91.35,2.736,7.836
2003-12-01,165.163,154.518,5.0,2.594,2226.677,2316.762,92.918,21.79,99.597,3.038,8.169
2004-01-01,201.941,340.699,5.95,2.788,2465.329,3653.045,101.382,25.954,104.841,2.149,7.497
2004-02-01,183.965,218.44,5.722,2.621,2212.895,2371.786,98.178,24.222,94.659,2.341,7.541
2004-03-01,180.774,187.438,5.535,2.736,2176.592,2208.378,95.987,27.224,97.186,2.18,7.7
2004-04-01,141.132,155.92,5.382,2.877,2079.505,2077.838,93.397,25.713,101.671,2.129,7.857
2004-05-01,151.546,143.485,5.999,2.974,2146.738,2034.039,101.272,25.939,93.094,2.177,7.994
2004-06-01,151.806,129.268,5.793,2.959,2228.88,2130.073,99.082,24.741,96.987,2.016,8.093
2004-07-01,154.498,150.422,6.533,3.004,2370.099,2296.808,108.08,23.252,103.031,1.96,8.235
2004-08-01,154.492,149.234,6.558,2.949,2252.934,2031.424,105.349,25.605,100.264,1.98,7.361
2004-09-01,142.032,124.152,6.309,2.797,2083.503,1837.713,98.484,24.989,94.993,1.752,7.282
2004-10-01,131.264,110.451,6.363,2.713,2153.444,1842.255,94.988,23.566,101.647,1.851,7.501
